State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,10/01/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,12/01/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,13/01/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,14/01/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,19/01/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,22/01/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,25/01/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,04/02/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,09/02/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,10/02/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,12/02/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,03/03/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,04/03/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,08/03/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,11/03/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,13/03/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,16/03/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,19/03/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,23/03/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,11/04/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,16/04/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,13/05/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,16/05/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,17/05/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,25/05/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,13/06/2017,3500.0,3600.0,3550.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,21/06/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,27/06/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,04/07/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,06/07/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,07/07/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,10/07/2017,3400.0,3600.0,3500.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,16/07/2017,3400.0,3500.0,3450.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,18/07/2017,3400.0,3500.0,3450.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,22/07/2017,3400.0,3500.0,3450.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,26/07/2017,3400.0,3500.0,3450.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,04/08/2017,3400.0,3500.0,3450.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,15/08/2017,3400.0,3500.0,3450.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,23/08/2017,3400.0,3500.0,3450.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,27/08/2017,3400.0,3500.0,3450.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,28/08/2017,3400.0,3500.0,3450.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,03/09/2017,3400.0,3500.0,3450.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,04/09/2017,3400.0,3500.0,3450.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,15/09/2017,3400.0,3500.0,3450.0,3
Andhra Pradesh,Guntur,Repalli,Rice,B P T,Medium,17/09/2017,3400.0,3500.0,3450.0,3
