State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,30/06/2007,905.0,988.0,985.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,03/07/2007,900.0,1011.0,1000.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,04/07/2007,884.0,1105.0,970.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,21/07/2007,890.0,1037.0,1014.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,24/07/2007,950.0,1042.0,1005.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,02/08/2007,934.0,1009.0,1000.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,03/08/2007,870.0,1026.0,1023.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,08/08/2007,800.0,1025.0,1013.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,09/08/2007,900.0,1018.0,999.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,21/08/2007,811.0,1006.0,968.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,23/08/2007,869.0,997.0,940.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,01/09/2007,717.0,1024.0,1006.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,06/09/2007,800.0,1040.0,1029.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,13/09/2007,801.0,1001.0,958.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,15/09/2007,821.0,1020.0,1014.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,29/09/2007,725.0,1008.0,981.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,01/10/2007,760.0,1006.0,980.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,04/10/2007,820.0,978.0,957.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,24/10/2007,950.0,1030.0,1000.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,25/10/2007,950.0,1056.0,1011.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,29/10/2007,900.0,1055.0,986.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,31/10/2007,898.0,1015.0,991.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,13/11/2007,919.0,1044.0,1001.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,14/11/2007,925.0,1033.0,1001.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,15/11/2007,936.0,1031.0,990.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,19/11/2007,851.0,1256.0,1000.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,23/11/2007,854.0,1121.0,1001.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,05/12/2007,900.0,998.0,960.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,08/12/2007,900.0,998.0,972.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,10/12/2007,903.0,1001.0,975.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,13/12/2007,891.0,981.0,945.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,19/12/2007,875.0,995.0,976.0,1
Madhya Pradesh,Harda,Timarni,Wheat,Lokwan,FAQ,20/12/2007,890.0,1018.0,981.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,06/03/2007,781.0,1201.0,841.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,21/03/2007,650.0,1398.0,910.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,26/03/2007,800.0,1370.0,926.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,29/03/2007,800.0,1360.0,925.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,30/03/2007,798.0,1327.0,925.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,07/04/2007,770.0,1500.0,900.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,11/04/2007,761.0,1366.0,880.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,18/04/2007,717.0,1225.0,925.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,21/04/2007,882.0,1267.0,900.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,05/05/2007,850.0,1201.0,870.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,17/05/2007,820.0,1288.0,851.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,21/05/2007,825.0,1271.0,850.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,22/05/2007,772.0,1100.0,850.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,25/05/2007,820.0,1149.0,850.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,21/06/2007,861.0,1065.0,925.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,23/06/2007,870.0,1060.0,931.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,05/07/2007,925.0,1101.0,984.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,24/07/2007,950.0,1042.0,1005.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,09/08/2007,900.0,1018.0,999.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,05/09/2007,926.0,1174.0,977.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,17/09/2007,852.0,1112.0,942.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,27/09/2007,916.0,1010.0,940.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,04/10/2007,850.0,1100.0,850.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,11/10/2007,863.0,1281.0,1281.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,25/10/2007,875.0,1250.0,950.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,06/11/2007,850.0,1283.0,958.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,16/11/2007,883.0,1200.0,1025.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,19/11/2007,851.0,1256.0,1000.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,23/11/2007,854.0,1121.0,1001.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,29/11/2007,870.0,1151.0,938.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,01/12/2007,800.0,1163.0,975.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,12/12/2007,897.0,1153.0,946.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,24/12/2007,732.0,1229.0,950.0,1
Madhya Pradesh,Harda,Timarni,Wheat,MP Sharbati,FAQ,26/12/2007,800.0,1180.0,969.0,1
Madhya Pradesh,Hoshangabad,Banapura,Wheat,Local,FAQ,01/02/2007,791.0,1084.0,960.0,1
Madhya Pradesh,Hoshangabad,Banapura,Wheat,Local,FAQ,05/02/2007,700.0,1032.0,975.0,1
Madhya Pradesh,Hoshangabad,Banapura,Wheat,Local,FAQ,09/02/2007,934.0,1056.0,1009.0,1
Madhya Pradesh,Hoshangabad,Banapura,Wheat,Local,FAQ,13/02/2007,951.0,1065.0,1050.0,1
Madhya Pradesh,Hoshangabad,Banapura,Wheat,Local,FAQ,17/02/2007,717.0,1402.0,800.0,1
